"regName","shortString","count","avg_days","Group","key"
"Emp_96","0.cyclophosphamide;28.dexamethasone;56.lenalidomide;",3,6,"RCD","cyclophosphamide+dexamethasone+lenalidomide"
"Emp_96","0.lenalidomide;28.dexamethasone;56.cyclophosphamide;",3,6,"RCD","cyclophosphamide+dexamethasone+lenalidomide"
"Emp_97","0.dexamethasone;19.cyclophosphamide;37.thalidomide;56.lenalidomide;",1,3,"RTCD","cyclophosphamide+dexamethasone+lenalidomide+thalidomide"
"Emp_98","0.cyclophosphamide;28.dexamethasone;56.melphalan;",39,9,"MCD","cyclophosphamide+dexamethasone+melphalan"
"Emp_98","0.cyclophosphamide;28.melphalan;56.dexamethasone;",39,9,"MCD","cyclophosphamide+dexamethasone+melphalan"
"Emp_98","0.melphalan;28.dexamethasone;56.cyclophosphamide;",39,9,"MCD","cyclophosphamide+dexamethasone+melphalan"
"Emp_98","0.dexamethasone;28.melphalan;56.cyclophosphamide;",39,9,"MCD","cyclophosphamide+dexamethasone+melphalan"
"Emp_98","0.dexamethasone;28.cyclophosphamide;56.melphalan;",39,9,"MCD","cyclophosphamide+dexamethasone+melphalan"
"Emp_98","0.melphalan;28.cyclophosphamide;56.dexamethasone;",39,9,"MCD","cyclophosphamide+dexamethasone+melphalan"
"Emp_99","0.thalidomide;19.dexamethasone;37.cyclophosphamide;56.melphalan;",3,2,"MCTD","cyclophosphamide+dexamethasone+melphalan+thalidomide"
"Emp_99","0.cyclophosphamide;19.dexamethasone;37.thalidomide;56.melphalan;",3,2,"MCTD","cyclophosphamide+dexamethasone+melphalan+thalidomide"
"Emp_99","0.dexamethasone;19.cyclophosphamide;37.thalidomide;56.melphalan;",3,2,"MCTD","cyclophosphamide+dexamethasone+melphalan+thalidomide"
"Emp_1","0.bortezomib;1.bortezomib;",38,11,"V","bortezomib+bortezomib"
"Emp_1","0.bortezomib;1.bortezomib;2.bortezomib;",38,11,"V","bortezomib+bortezomib+bortezomib"
"Emp_106","0.daratumumab;1.daratumumab;",9,26,"Dara","daratumumab+daratumumab"
"Emp_106","0.daratumumab;1.daratumumab;2.daratumumab;",9,26,"Dara","daratumumab+daratumumab+daratumumab"
"Emp_117","0.dexamethasone;1.dexamethasone;",1088,14,"D","dexamethasone+dexamethasone"
"Emp_117","0.dexamethasone;1.dexamethasone;2.dexamethasone;",1088,14,"D","dexamethasone+dexamethasone+dexamethasone"
"Emp_133","0.ixazomib;1.ixazomib;",31,37,"I","ixazomib+ixazomib"
"Emp_133","0.ixazomib;1.ixazomib;2.ixazomib;",31,37,"I","ixazomib+ixazomib+ixazomib"
"Emp_135","0.lenalidomide;1.lenalidomide;",446,32,"R","lenalidomide+lenalidomide"
"Emp_135","0.lenalidomide;1.lenalidomide;2.lenalidomide;",446,32,"R","lenalidomide+lenalidomide+lenalidomide"
"Emp_139","0.melphalan;1.melphalan;",28,27,"M","melphalan+melphalan"
"Emp_139","0.melphalan;1.melphalan;2.melphalan;",28,27,"M","melphalan+melphalan+melphalan"
"Emp_141","0.pomalidomide;1.pomalidomide;",9,41,"Pom","pomalidomide+pomalidomide"
"Emp_141","0.pomalidomide;1.pomalidomide;2.pomalidomide;",9,41,"Pom","pomalidomide+pomalidomide+pomalidomide"
"Emp_142","0.thalidomide;1.thalidomide;",129,35,"T","thalidomide+thalidomide"
"Emp_142","0.thalidomide;1.thalidomide;2.thalidomide;",129,35,"T","thalidomide+thalidomide+thalidomide"
"Emp_143","0.venetoclax;1.venetoclax;",37,32,"Ven","venetoclax+venetoclax"
"Emp_143","0.venetoclax;1.venetoclax;2.venetoclax;",37,32,"Ven","venetoclax+venetoclax+venetoclax"
"Emp_60","0.carfilzomib;1.carfilzomib;",6,5,"K","carfilzomib+carfilzomib"
"Emp_60","0.carfilzomib;1.carfilzomib;2.carfilzomib;",6,5,"K","carfilzomib+carfilzomib+carfilzomib"
"Emp_92","0.cyclophosphamide;1.cyclophosphamide;",40,20,"C","cyclophosphamide+cyclophosphamide"
"Emp_92","0.cyclophosphamide;1.cyclophosphamide;2.cyclophosphamide;",40,20,"C","cyclophosphamide+cyclophosphamide+cyclophosphamide"
